Unnamed: 0,Date,CustomerID,typeM,Series,Value
0,2022-07-09,83001,Pulse1,P1,44
1,2022-07-09,83002,Pulse1_Total,T1,215
2,2022-07-09,83003,Switch2,SW2,163
3,2022-07-09,83004,Pulse1_Total,T1,395
4,2022-07-09,83005,Pulse1,P1,453
5,2022-07-09,83006,Pulse1_Total,T1,843
6,2022-07-09,83007,Pulse1,P1,936
7,2022-07-09,83008,Pulse1_Total,T1,654
8,2022-07-09,83009,Pulse1,P1,14
9,2022-07-09,83010,Pulse1_Total,T1,912
10,2022-07-09,83011,Pulse1,P1,718
11,2022-07-09,83012,Pulse1_Total,T1,849
12,2022-07-09,83013,Pulse1,P1,484
13,2022-07-09,83014,Pulse1,P1,250
14,2022-07-09,83015,Pulse1_Total,T1,391
15,2022-07-09,83016,Pulse1_Total,T1,748
16,2022-07-09,83017,Pulse1,P1,573
17,2022-07-09,83018,Pulse1_Total,T1,951
18,2022-07-09,83019,Pulse1,P1,343
19,2022-07-09,83020,Pulse1_Total,T1,15
20,2022-07-09,83021,Pulse1,P1,561
21,2022-07-09,83022,Pulse1,P1,837
22,2022-07-09,83023,Switch2,SW2,461
23,2022-07-09,83024,Pulse1_Total,T1,784
24,2022-07-09,83025,Pulse1_Total,T1,116
25,2022-07-09,83026,Pulse1_Total,T1,213
26,2022-07-09,83027,Pulse1,P1,47
27,2022-07-09,83028,Pulse1,P1,544
28,2022-07-09,83029,Pulse1,P1,748
29,2022-07-09,83030,Switch2,SW2,610
30,2022-07-09,83031,Pulse1_Total,T1,640
31,2022-07-09,83032,Pulse1_Total,T1,880
32,2022-07-09,83033,Pulse1_Total,T1,427
33,2022-07-09,83034,Pulse1,P1,685
34,2022-07-09,83035,Pulse1,P1,306
35,2022-07-09,83036,Pulse1,P1,556
36,2022-07-09,83037,Pulse1_Total,T1,166
37,2022-07-09,83038,Pulse1_Total,T1,87
38,2022-07-09,83039,Pulse1_Total,T1,592
39,2022-07-09,83040,Pulse1,P1,458
40,2022-07-09,83041,Pulse1,P1,903
41,2022-07-09,83042,Pulse1,P1,618
42,2022-07-09,83043,Pulse1_Total,T1,520
43,2022-07-09,83044,Pulse1_Total,T1,497
44,2022-07-09,83045,Switch2,SW2,834
45,2022-07-09,83046,Pulse1,P1,436
46,2022-07-09,83047,Pulse1,P1,125
47,2022-07-09,83048,Pulse1_Total,T1,844
48,2022-07-09,83049,Pulse1_Total,T1,205
49,2022-07-09,83050,Pulse1_Total,T1,516
50,2022-07-09,83051,Pulse1,P1,718
51,2022-07-09,83052,Pulse1,P1,216
52,2022-07-09,83053,Pulse1,P1,234
53,2022-07-09,83054,Pulse1_Total,T1,59
54,2022-07-09,83055,Pulse1_Total,T1,601
55,2022-07-09,83056,Pulse1,P1,751
56,2022-07-09,83057,Pulse1,P1,228
57,2022-07-09,83058,Pulse1_Total,T1,222
58,2022-07-09,83059,Pulse1_Total,T1,660
59,2022-07-09,83060,Pulse1_Total,T1,971
