Unnamed: 0,Date,CustomerID,typeM,Series,Value
0,2022-07-06,83001,Pulse1,P1,222
1,2022-07-06,83002,Pulse1_Total,T1,345
2,2022-07-06,83003,Switch2,SW2,929
3,2022-07-06,83004,Pulse1_Total,T1,555
4,2022-07-06,83005,Pulse1,P1,627
5,2022-07-06,83006,Pulse1_Total,T1,606
6,2022-07-06,83007,Pulse1,P1,841
7,2022-07-06,83008,Pulse1_Total,T1,726
8,2022-07-06,83009,Pulse1,P1,588
9,2022-07-06,83010,Pulse1_Total,T1,955
10,2022-07-06,83011,Pulse1,P1,746
11,2022-07-06,83012,Pulse1_Total,T1,193
12,2022-07-06,83013,Pulse1,P1,826
13,2022-07-06,83014,Pulse1,P1,911
14,2022-07-06,83015,Pulse1_Total,T1,556
15,2022-07-06,83016,Pulse1_Total,T1,989
16,2022-07-06,83017,Pulse1,P1,232
17,2022-07-06,83018,Pulse1_Total,T1,457
18,2022-07-06,83019,Pulse1,P1,881
19,2022-07-06,83020,Pulse1_Total,T1,22
20,2022-07-06,83021,Pulse1,P1,21
21,2022-07-06,83022,Pulse1,P1,370
22,2022-07-06,83023,Switch2,SW2,53
23,2022-07-06,83024,Pulse1_Total,T1,728
24,2022-07-06,83025,Pulse1_Total,T1,748
25,2022-07-06,83026,Pulse1_Total,T1,255
26,2022-07-06,83027,Pulse1,P1,980
27,2022-07-06,83028,Pulse1,P1,562
28,2022-07-06,83029,Pulse1,P1,350
29,2022-07-06,83030,Switch2,SW2,762
30,2022-07-06,83031,Pulse1_Total,T1,967
31,2022-07-06,83032,Pulse1_Total,T1,22
32,2022-07-06,83033,Pulse1_Total,T1,32
33,2022-07-06,83034,Pulse1,P1,843
34,2022-07-06,83035,Pulse1,P1,516
35,2022-07-06,83036,Pulse1,P1,203
36,2022-07-06,83037,Pulse1_Total,T1,299
37,2022-07-06,83038,Pulse1_Total,T1,572
38,2022-07-06,83039,Pulse1_Total,T1,776
39,2022-07-06,83040,Pulse1,P1,976
40,2022-07-06,83041,Pulse1,P1,202
41,2022-07-06,83042,Pulse1,P1,484
42,2022-07-06,83043,Pulse1_Total,T1,949
43,2022-07-06,83044,Pulse1_Total,T1,926
44,2022-07-06,83045,Switch2,SW2,985
45,2022-07-06,83046,Pulse1,P1,155
46,2022-07-06,83047,Pulse1,P1,884
47,2022-07-06,83048,Pulse1_Total,T1,373
48,2022-07-06,83049,Pulse1_Total,T1,688
49,2022-07-06,83050,Pulse1_Total,T1,139
50,2022-07-06,83051,Pulse1,P1,515
51,2022-07-06,83052,Pulse1,P1,238
52,2022-07-06,83053,Pulse1,P1,301
53,2022-07-06,83054,Pulse1_Total,T1,441
54,2022-07-06,83055,Pulse1_Total,T1,817
55,2022-07-06,83056,Pulse1,P1,29
56,2022-07-06,83057,Pulse1,P1,868
57,2022-07-06,83058,Pulse1_Total,T1,186
