Unnamed: 0,Date,CustomerID,typeM,Series,Value
0,2022-07-08,83001,Pulse1,P1,468
1,2022-07-08,83002,Pulse1_Total,T1,796
2,2022-07-08,83003,Switch2,SW2,130
3,2022-07-08,83004,Pulse1_Total,T1,360
4,2022-07-08,83005,Pulse1,P1,410
5,2022-07-08,83006,Pulse1_Total,T1,155
6,2022-07-08,83007,Pulse1,P1,48
7,2022-07-08,83008,Pulse1_Total,T1,453
8,2022-07-08,83009,Pulse1,P1,481
9,2022-07-08,83010,Pulse1_Total,T1,962
10,2022-07-08,83011,Pulse1,P1,663
11,2022-07-08,83012,Pulse1_Total,T1,667
12,2022-07-08,83013,Pulse1,P1,151
13,2022-07-08,83014,Pulse1,P1,183
14,2022-07-08,83015,Pulse1_Total,T1,279
15,2022-07-08,83016,Pulse1_Total,T1,571
16,2022-07-08,83017,Pulse1,P1,347
17,2022-07-08,83018,Pulse1_Total,T1,647
18,2022-07-08,83019,Pulse1,P1,685
19,2022-07-08,83020,Pulse1_Total,T1,739
20,2022-07-08,83021,Pulse1,P1,601
21,2022-07-08,83022,Pulse1,P1,970
22,2022-07-08,83023,Switch2,SW2,803
23,2022-07-08,83024,Pulse1_Total,T1,964
24,2022-07-08,83025,Pulse1_Total,T1,54
25,2022-07-08,83026,Pulse1_Total,T1,81
26,2022-07-08,83027,Pulse1,P1,60
27,2022-07-08,83028,Pulse1,P1,525
28,2022-07-08,83029,Pulse1,P1,93
29,2022-07-08,83030,Switch2,SW2,402
30,2022-07-08,83031,Pulse1_Total,T1,139
31,2022-07-08,83032,Pulse1_Total,T1,691
32,2022-07-08,83033,Pulse1_Total,T1,145
33,2022-07-08,83034,Pulse1,P1,43
34,2022-07-08,83035,Pulse1,P1,503
35,2022-07-08,83036,Pulse1,P1,397
36,2022-07-08,83037,Pulse1_Total,T1,991
37,2022-07-08,83038,Pulse1_Total,T1,647
38,2022-07-08,83039,Pulse1_Total,T1,90
39,2022-07-08,83040,Pulse1,P1,828
40,2022-07-08,83041,Pulse1,P1,564
41,2022-07-08,83042,Pulse1,P1,468
42,2022-07-08,83043,Pulse1_Total,T1,980
43,2022-07-08,83044,Pulse1_Total,T1,999
44,2022-07-08,83045,Switch2,SW2,12
45,2022-07-08,83046,Pulse1,P1,510
46,2022-07-08,83047,Pulse1,P1,991
47,2022-07-08,83048,Pulse1_Total,T1,718
48,2022-07-08,83049,Pulse1_Total,T1,106
49,2022-07-08,83050,Pulse1_Total,T1,527
50,2022-07-08,83051,Pulse1,P1,819
51,2022-07-08,83052,Pulse1,P1,313
52,2022-07-08,83053,Pulse1,P1,285
53,2022-07-08,83054,Pulse1_Total,T1,365
54,2022-07-08,83055,Pulse1_Total,T1,461
55,2022-07-08,83056,Pulse1,P1,336
56,2022-07-08,83057,Pulse1,P1,302
57,2022-07-08,83058,Pulse1_Total,T1,189
