Unnamed: 0,Date,CustomerID,typeM,Series,Value
0,2022-07-03,83001,Pulse1,P1,458
1,2022-07-03,83002,Pulse1_Total,T1,88
2,2022-07-03,83003,Switch2,SW2,217
3,2022-07-03,83004,Pulse1_Total,T1,315
4,2022-07-03,83005,Pulse1,P1,418
5,2022-07-03,83006,Pulse1_Total,T1,409
6,2022-07-03,83007,Pulse1,P1,546
7,2022-07-03,83008,Pulse1_Total,T1,686
8,2022-07-03,83009,Pulse1,P1,363
9,2022-07-03,83010,Pulse1_Total,T1,398
10,2022-07-03,83011,Pulse1,P1,736
11,2022-07-03,83012,Pulse1_Total,T1,328
12,2022-07-03,83013,Pulse1,P1,497
13,2022-07-03,83014,Pulse1,P1,628
14,2022-07-03,83015,Pulse1_Total,T1,817
15,2022-07-03,83016,Pulse1_Total,T1,647
16,2022-07-03,83017,Pulse1,P1,949
17,2022-07-03,83018,Pulse1_Total,T1,550
18,2022-07-03,83019,Pulse1,P1,871
19,2022-07-03,83020,Pulse1_Total,T1,937
20,2022-07-03,83021,Pulse1,P1,472
21,2022-07-03,83022,Pulse1,P1,405
22,2022-07-03,83023,Switch2,SW2,391
23,2022-07-03,83024,Pulse1_Total,T1,734
24,2022-07-03,83025,Pulse1_Total,T1,580
25,2022-07-03,83026,Pulse1_Total,T1,94
26,2022-07-03,83027,Pulse1,P1,803
27,2022-07-03,83028,Pulse1,P1,662
28,2022-07-03,83029,Pulse1,P1,711
29,2022-07-03,83030,Switch2,SW2,920
30,2022-07-03,83031,Pulse1_Total,T1,901
31,2022-07-03,83032,Pulse1_Total,T1,344
32,2022-07-03,83033,Pulse1_Total,T1,436
33,2022-07-03,83034,Pulse1,P1,649
34,2022-07-03,83035,Pulse1,P1,82
35,2022-07-03,83036,Pulse1,P1,424
36,2022-07-03,83037,Pulse1_Total,T1,210
37,2022-07-03,83038,Pulse1_Total,T1,114
38,2022-07-03,83039,Pulse1_Total,T1,712
39,2022-07-03,83040,Pulse1,P1,173
40,2022-07-03,83041,Pulse1,P1,864
41,2022-07-03,83042,Pulse1,P1,859
42,2022-07-03,83043,Pulse1_Total,T1,884
43,2022-07-03,83044,Pulse1_Total,T1,281
44,2022-07-03,83045,Switch2,SW2,316
45,2022-07-03,83046,Pulse1,P1,421
46,2022-07-03,83047,Pulse1,P1,522
47,2022-07-03,83048,Pulse1_Total,T1,616
48,2022-07-03,83049,Pulse1_Total,T1,385
49,2022-07-03,83050,Pulse1_Total,T1,32
50,2022-07-03,83051,Pulse1,P1,25
51,2022-07-03,83052,Pulse1,P1,841
52,2022-07-03,83053,Pulse1,P1,812
53,2022-07-03,83054,Pulse1_Total,T1,382
54,2022-07-03,83055,Pulse1_Total,T1,470
55,2022-07-03,83056,Pulse1,P1,642
56,2022-07-03,83057,Pulse1,P1,46
57,2022-07-03,83058,Pulse1_Total,T1,623
58,2022-07-03,83059,Pulse1_Total,T1,516
59,2022-07-03,83060,Pulse1_Total,T1,78
60,2022-07-03,83061,Pulse1,P1,790
61,2022-07-03,83062,Pulse1,P1,417
62,2022-07-03,83063,Pulse1,P1,487
63,2022-07-03,83064,Pulse1_Total,T1,690
64,2022-07-03,83065,Pulse1_Total,T1,753
65,2022-07-03,83066,Pulse1_Total,T1,128
66,2022-07-03,83067,Pulse1,P1,643
67,2022-07-03,83068,Pulse1,P1,314
68,2022-07-03,83069,Pulse1,P1,62
69,2022-07-03,83070,Pulse1_Total,T1,814
70,2022-07-03,83071,Pulse1_Total,T1,786
71,2022-07-03,83072,Pulse1_Total,T1,964
72,2022-07-03,83073,Pulse1,P1,416
73,2022-07-03,83074,Pulse1,P1,651
74,2022-07-03,83075,Pulse1,P1,100
75,2022-07-03,83076,Pulse1_Total,T1,937
76,2022-07-03,83077,Pulse1_Total,T1,38
77,2022-07-03,83078,Pulse1,P1,858
78,2022-07-03,83079,Pulse1,P1,180
79,2022-07-03,83080,Pulse1_Total,T1,35
80,2022-07-03,83081,Pulse1_Total,T1,404
81,2022-07-03,83082,Pulse1_Total,T1,985
82,2022-07-03,83083,Pulse1,P1,737
83,2022-07-03,83084,Pulse1,P1,453
84,2022-07-03,83085,Pulse1,P1,794
85,2022-07-03,83086,Pulse1_Total,T1,345
86,2022-07-03,83087,Pulse1_Total,T1,724
87,2022-07-03,83088,Pulse1_Total,T1,995
88,2022-07-03,83089,Pulse1,P1,15
89,2022-07-03,83090,Pulse1,P1,101
90,2022-07-03,83091,Pulse1,P1,234
91,2022-07-03,83092,Pulse1_Total,T1,589
92,2022-07-03,83093,Switch2,SW2,29
93,2022-07-03,83094,Pulse1_Total,T1,968
94,2022-07-03,83095,Pulse1,P1,674
95,2022-07-03,83096,Pulse1_Total,T1,517
96,2022-07-03,83097,Pulse1,P1,670
97,2022-07-03,83098,Switch2,SW2,286
98,2022-07-03,83099,Pulse1,P1,123
99,2022-07-03,83100,Pulse1_Total,T1,256
100,2022-07-03,83101,Pulse1_Total,T1,112
101,2022-07-03,83102,Pulse1_Total,T1,371
102,2022-07-03,83103,Pulse1,P1,283
103,2022-07-03,83104,Pulse1,P1,585
104,2022-07-03,83105,Pulse1,P1,417
105,2022-07-03,83106,Pulse1_Total,T1,398
106,2022-07-03,83107,Pulse1_Total,T1,958
107,2022-07-03,83108,Switch2,SW2,974
108,2022-07-03,83109,Pulse1,P1,728
109,2022-07-03,83110,Pulse1,P1,7
110,2022-07-03,83111,Pulse1_Total,T1,139
111,2022-07-03,83112,Pulse1_Total,T1,384
112,2022-07-03,83113,Pulse1_Total,T1,693
113,2022-07-03,83114,Pulse1,P1,113
114,2022-07-03,83115,Pulse1,P1,262
115,2022-07-03,83116,Pulse1,P1,209
116,2022-07-03,83117,Pulse1_Total,T1,608
117,2022-07-03,83118,Pulse1_Total,T1,35
118,2022-07-03,83119,Pulse1_Total,T1,929
119,2022-07-03,83120,Pulse1,P1,402
120,2022-07-03,83121,Pulse1,P1,401
121,2022-07-03,83122,Pulse1,P1,243
122,2022-07-03,83123,Pulse1_Total,T1,21
123,2022-07-03,83124,Pulse1_Total,T1,975
124,2022-07-03,83125,Pulse1_Total,T1,619
125,2022-07-03,83126,Pulse1,P1,265
126,2022-07-03,83127,Pulse1,P1,385
127,2022-07-03,83128,Pulse1,P1,473
128,2022-07-03,83129,Pulse1_Total,T1,500
129,2022-07-03,83130,Pulse1_Total,T1,928
130,2022-07-03,83131,Switch2,SW2,617
131,2022-07-03,83132,Pulse1,P1,975
132,2022-07-03,83133,Pulse1,P1,414
133,2022-07-03,83134,Pulse1_Total,T1,144
134,2022-07-03,83135,Pulse1_Total,T1,496
135,2022-07-03,83136,Pulse1,P1,683
136,2022-07-03,83137,Pulse1,P1,325
137,2022-07-03,83138,Pulse1_Total,T1,877
138,2022-07-03,83139,Pulse1_Total,T1,760
139,2022-07-03,83140,Pulse1_Total,T1,406
140,2022-07-03,83141,Pulse1,P1,994
141,2022-07-03,83142,Pulse1,P1,880
142,2022-07-03,83143,Pulse1,P1,804
143,2022-07-03,83144,Pulse1_Total,T1,181
144,2022-07-03,83145,Pulse1_Total,T1,759
145,2022-07-03,83146,Pulse1_Total,T1,880
146,2022-07-03,83147,Pulse1,P1,189
147,2022-07-03,83148,Pulse1,P1,863
148,2022-07-03,83149,Pulse1,P1,123
149,2022-07-03,83150,Switch2,SW2,959
150,2022-07-03,83151,Pulse1_Total,T1,881
