,Date,CustomerID,typeM,Series,Value
0,2022-07-01,83001,Pulse1,P1,903
1,2022-07-01,83002,Pulse1_Total,T1,780
2,2022-07-01,83003,Switch2,SW2,797
3,2022-07-01,83004,Pulse1_Total,T1,180
4,2022-07-01,83005,Pulse1,P1,975
5,2022-07-01,83006,Pulse1_Total,T1,886
6,2022-07-01,83007,Pulse1,P1,59
7,2022-07-01,83008,Pulse1_Total,T1,121
8,2022-07-01,83009,Pulse1,P1,785
9,2022-07-01,83010,Pulse1_Total,T1,922
10,2022-07-01,83011,Pulse1,P1,507
11,2022-07-01,83012,Pulse1_Total,T1,163
12,2022-07-01,83013,Pulse1,P1,671
13,2022-07-01,83014,Pulse1,P1,304
14,2022-07-01,83015,Pulse1_Total,T1,880
15,2022-07-01,83016,Pulse1_Total,T1,608
16,2022-07-01,83017,Pulse1,P1,347
17,2022-07-01,83018,Pulse1_Total,T1,921
18,2022-07-01,83019,Pulse1,P1,299
19,2022-07-01,83020,Pulse1_Total,T1,554
20,2022-07-01,83021,Pulse1,P1,575
21,2022-07-01,83022,Pulse1,P1,743
22,2022-07-01,83023,Switch2,SW2,21
23,2022-07-01,83024,Pulse1_Total,T1,65
24,2022-07-01,83025,Pulse1_Total,T1,583
25,2022-07-01,83026,Pulse1_Total,T1,390
26,2022-07-01,83027,Pulse1,P1,406
27,2022-07-01,83028,Pulse1,P1,297
28,2022-07-01,83029,Pulse1,P1,111
29,2022-07-01,83030,Switch2,SW2,162
30,2022-07-01,83031,Pulse1_Total,T1,435
31,2022-07-01,83032,Pulse1_Total,T1,569
32,2022-07-01,83033,Pulse1_Total,T1,284
33,2022-07-01,83034,Pulse1,P1,0
34,2022-07-01,83035,Pulse1,P1,26
35,2022-07-01,83036,Pulse1,P1,796
36,2022-07-01,83037,Pulse1_Total,T1,82
37,2022-07-01,83038,Pulse1_Total,T1,735
38,2022-07-01,83039,Pulse1_Total,T1,228
39,2022-07-01,83040,Pulse1,P1,577
40,2022-07-01,83041,Pulse1,P1,407
41,2022-07-01,83042,Pulse1,P1,477
42,2022-07-01,83043,Pulse1_Total,T1,132
43,2022-07-01,83044,Pulse1_Total,T1,927
44,2022-07-01,83045,Switch2,SW2,136
45,2022-07-01,83046,Pulse1,P1,269
46,2022-07-01,83047,Pulse1,P1,847
47,2022-07-01,83048,Pulse1_Total,T1,298
48,2022-07-01,83049,Pulse1_Total,T1,708
49,2022-07-01,83050,Pulse1_Total,T1,37
50,2022-07-01,83051,Pulse1,P1,398
51,2022-07-01,83052,Pulse1,P1,212
52,2022-07-01,83053,Pulse1,P1,510
53,2022-07-01,83054,Pulse1_Total,T1,370
54,2022-07-01,83055,Pulse1_Total,T1,989
55,2022-07-01,83056,Pulse1,P1,276
56,2022-07-01,83057,Pulse1,P1,809
57,2022-07-01,83058,Pulse1_Total,T1,616
58,2022-07-01,83059,Pulse1_Total,T1,805
59,2022-07-01,83060,Pulse1_Total,T1,777
60,2022-07-01,83061,Pulse1,P1,557
61,2022-07-01,83062,Pulse1,P1,813
62,2022-07-01,83063,Pulse1,P1,6
63,2022-07-01,83064,Pulse1_Total,T1,564
64,2022-07-01,83065,Pulse1_Total,T1,893
65,2022-07-01,83066,Pulse1_Total,T1,438
66,2022-07-01,83067,Pulse1,P1,138
67,2022-07-01,83068,Pulse1,P1,840
68,2022-07-01,83069,Pulse1,P1,222
69,2022-07-01,83070,Pulse1_Total,T1,252
