Unnamed: 0,Date,CustomerID,typeM,Series,Value
0,2022-07-05,83001,Pulse1,P1,247
1,2022-07-05,83002,Pulse1_Total,T1,904
2,2022-07-05,83003,Switch2,SW2,762
3,2022-07-05,83004,Pulse1_Total,T1,368
4,2022-07-05,83005,Pulse1,P1,585
5,2022-07-05,83006,Pulse1_Total,T1,584
6,2022-07-05,83007,Pulse1,P1,481
7,2022-07-05,83008,Pulse1_Total,T1,877
8,2022-07-05,83009,Pulse1,P1,925
9,2022-07-05,83010,Pulse1_Total,T1,810
10,2022-07-05,83011,Pulse1,P1,16
11,2022-07-05,83012,Pulse1_Total,T1,114
12,2022-07-05,83013,Pulse1,P1,23
13,2022-07-05,83014,Pulse1,P1,544
14,2022-07-05,83015,Pulse1_Total,T1,374
15,2022-07-05,83016,Pulse1_Total,T1,492
16,2022-07-05,83017,Pulse1,P1,278
17,2022-07-05,83018,Pulse1_Total,T1,574
18,2022-07-05,83019,Pulse1,P1,718
19,2022-07-05,83020,Pulse1_Total,T1,105
20,2022-07-05,83021,Pulse1,P1,438
21,2022-07-05,83022,Pulse1,P1,800
22,2022-07-05,83023,Switch2,SW2,94
23,2022-07-05,83024,Pulse1_Total,T1,274
24,2022-07-05,83025,Pulse1_Total,T1,905
25,2022-07-05,83026,Pulse1_Total,T1,265
26,2022-07-05,83027,Pulse1,P1,819
27,2022-07-05,83028,Pulse1,P1,192
28,2022-07-05,83029,Pulse1,P1,188
29,2022-07-05,83030,Switch2,SW2,719
30,2022-07-05,83031,Pulse1_Total,T1,749
31,2022-07-05,83032,Pulse1_Total,T1,593
32,2022-07-05,83033,Pulse1_Total,T1,391
33,2022-07-05,83034,Pulse1,P1,850
34,2022-07-05,83035,Pulse1,P1,452
35,2022-07-05,83036,Pulse1,P1,256
36,2022-07-05,83037,Pulse1_Total,T1,83
37,2022-07-05,83038,Pulse1_Total,T1,88
38,2022-07-05,83039,Pulse1_Total,T1,677
39,2022-07-05,83040,Pulse1,P1,358
40,2022-07-05,83041,Pulse1,P1,610
41,2022-07-05,83042,Pulse1,P1,410
42,2022-07-05,83043,Pulse1_Total,T1,847
43,2022-07-05,83044,Pulse1_Total,T1,487
44,2022-07-05,83045,Switch2,SW2,482
45,2022-07-05,83046,Pulse1,P1,948
46,2022-07-05,83047,Pulse1,P1,994
47,2022-07-05,83048,Pulse1_Total,T1,702
48,2022-07-05,83049,Pulse1_Total,T1,469
49,2022-07-05,83050,Pulse1_Total,T1,7
50,2022-07-05,83051,Pulse1,P1,557
51,2022-07-05,83052,Pulse1,P1,151
52,2022-07-05,83053,Pulse1,P1,656
53,2022-07-05,83054,Pulse1_Total,T1,875
54,2022-07-05,83055,Pulse1_Total,T1,984
55,2022-07-05,83056,Pulse1,P1,605
56,2022-07-05,83057,Pulse1,P1,316
57,2022-07-05,83058,Pulse1_Total,T1,549
58,2022-07-05,83059,Pulse1_Total,T1,676
59,2022-07-05,83060,Pulse1_Total,T1,831
60,2022-07-05,83061,Pulse1,P1,851
61,2022-07-05,83062,Pulse1,P1,805
62,2022-07-05,83063,Pulse1,P1,986
63,2022-07-05,83064,Pulse1_Total,T1,691
64,2022-07-05,83065,Pulse1_Total,T1,96
65,2022-07-05,83066,Pulse1_Total,T1,337
66,2022-07-05,83067,Pulse1,P1,981
67,2022-07-05,83068,Pulse1,P1,702
68,2022-07-05,83069,Pulse1,P1,417
69,2022-07-05,83070,Pulse1_Total,T1,109
70,2022-07-05,83071,Pulse1_Total,T1,412
71,2022-07-05,83072,Pulse1_Total,T1,8
72,2022-07-05,83073,Pulse1,P1,309
73,2022-07-05,83074,Pulse1,P1,307
74,2022-07-05,83075,Pulse1,P1,894
75,2022-07-05,83076,Pulse1_Total,T1,393
76,2022-07-05,83077,Pulse1_Total,T1,551
77,2022-07-05,83078,Pulse1,P1,567
78,2022-07-05,83079,Pulse1,P1,857
79,2022-07-05,83080,Pulse1_Total,T1,337
80,2022-07-05,83081,Pulse1_Total,T1,3
81,2022-07-05,83082,Pulse1_Total,T1,351
82,2022-07-05,83083,Pulse1,P1,425
