Unnamed: 0,Date,CustomerID,typeM,Series,Value
0,2022-07-02,83001,Pulse1,P1,514
1,2022-07-02,83002,Pulse1_Total,T1,211
2,2022-07-02,83003,Switch2,SW2,220
3,2022-07-02,83004,Pulse1_Total,T1,56
4,2022-07-02,83005,Pulse1,P1,181
5,2022-07-02,83006,Pulse1_Total,T1,451
6,2022-07-02,83007,Pulse1,P1,126
7,2022-07-02,83008,Pulse1_Total,T1,653
8,2022-07-02,83009,Pulse1,P1,344
9,2022-07-02,83010,Pulse1_Total,T1,300
10,2022-07-02,83011,Pulse1,P1,497
11,2022-07-02,83012,Pulse1_Total,T1,245
12,2022-07-02,83013,Pulse1,P1,245
13,2022-07-02,83014,Pulse1,P1,989
14,2022-07-02,83015,Pulse1_Total,T1,350
15,2022-07-02,83016,Pulse1_Total,T1,663
16,2022-07-02,83017,Pulse1,P1,554
17,2022-07-02,83018,Pulse1_Total,T1,955
18,2022-07-02,83019,Pulse1,P1,46
19,2022-07-02,83020,Pulse1_Total,T1,369
20,2022-07-02,83021,Pulse1,P1,947
21,2022-07-02,83022,Pulse1,P1,618
22,2022-07-02,83023,Switch2,SW2,731
23,2022-07-02,83024,Pulse1_Total,T1,145
24,2022-07-02,83025,Pulse1_Total,T1,520
25,2022-07-02,83026,Pulse1_Total,T1,606
26,2022-07-02,83027,Pulse1,P1,996
27,2022-07-02,83028,Pulse1,P1,285
28,2022-07-02,83029,Pulse1,P1,1000
29,2022-07-02,83030,Switch2,SW2,570
30,2022-07-02,83031,Pulse1_Total,T1,970
31,2022-07-02,83032,Pulse1_Total,T1,61
32,2022-07-02,83033,Pulse1_Total,T1,387
33,2022-07-02,83034,Pulse1,P1,731
34,2022-07-02,83035,Pulse1,P1,8
35,2022-07-02,83036,Pulse1,P1,378
36,2022-07-02,83037,Pulse1_Total,T1,235
37,2022-07-02,83038,Pulse1_Total,T1,434
38,2022-07-02,83039,Pulse1_Total,T1,703
39,2022-07-02,83040,Pulse1,P1,974
40,2022-07-02,83041,Pulse1,P1,553
41,2022-07-02,83042,Pulse1,P1,966
42,2022-07-02,83043,Pulse1_Total,T1,865
43,2022-07-02,83044,Pulse1_Total,T1,698
44,2022-07-02,83045,Switch2,SW2,581
